Stock Name,ISIN,Sector Name,Quantity,Average Cost Price,Value At Cost
Multi Commodity Exchange of India Ltd,INE745G01043,Miscellaneous,120,2799.24,335908.99
Welspun Corp Ltd,INE191B01025,Steel,95,1046.37,99405.18
TATA MOTORS PASS VEH LTD,INE155A01022,Automobile,320,511.45,163662.73
JSW Steel Ltd,INE019A01038,Steel,75,1279.84,95988.32
ZYDUS LIFESCIENCES LTD,INE010B01027,Pharmaceuticals,100,938.06,93806.15
Cyient Ltd,INE136B01020,IT - Software,100,897.49,89748.69
Zen Technologies Ltd,INE251B01027,IT - Software,50,1744.34,87216.94
Paras Defence and Space Technologies Limited,INE045601023,Others,100,785.34,78534.14
Marico Ltd,INE196A01026,FMCG,100,790.51,79051.47
Bharat Forge Ltd,INE465A01025,Castings,40,1836.34,73453.46
Astra Microwave Products Ltd,INE386C01029,Telecomm Equipment & Infra Services,50,1127.07,56353.37
HBL ENGINEERING LTD,INE292B01021,Dry cells,60,788.13,47287.86
WAAREE ENERGIES LIMITED,INE377N01017,Others,10,3479.87,34798.66
Havells India Ltd,INE176B01034,Capital Goods - Electrical Equipment,25,1343.08,33576.97
Tata Steel Ltd,INE081A01020,Steel,125,212.56,26570.15
TATA MOTORS LIMITED,INE1TAE01010,Others,50,434.71,21735.58
Kernex Microsystems (India) Ltd,INE202H01019,Electronics,15,1154.56,17318.38
ONESOURCE SPECL PHARMA L,INE013P01021,Others,10,1546.87,15468.7
Vedanta Ltd,INE205A01025,Mining & Mineral products,25,742.28,18557.07
JBM Auto Ltd,INE927D01051,Auto Ancillaries,25,616.92,15422.97
Jindal Saw Ltd,INE324A01032,Steel,60,214.38,12862.93
JSW Energy Ltd,INE121E01018,Power Generation & Distribution,25,564.22,14105.56
MAZAGON DOCK SHIPBUIL LTD,INE249Z01020,Ship Building,5,2478.34,12391.69
Dr Reddys Laboratories Ltd,INE089A01031,Pharmaceuticals,10,1210.91,12109.1
Bharat Electronics Ltd,INE263A01024,Consumer Durables,20,454.09,9081.8
Aster DM Healthcare Ltd,INE914M01019,Healthcare,10,681.86,6818.56
WINDLAS BIOTECH LIMITED,INE0H5O01029,Others,6,730.08,4380.45
SHYAM METALICS AND ENGY L,INE810G01011,Others,5,842.13,4210.65
Apollo Micro Systems Ltd,INE713T01028,IT - Software,10,243.93,2439.25
Lupin Ltd,INE326A01037,Pharmaceuticals,1,2328.5,2328.5
NCC Ltd,INE868B01028,Construction,10,153.83,1538.28
Tata Investment Corporation Ltd,INE672A01026,Finance,1,673.9,673.9
